City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
295,coquimbo,-29.9533,-71.3436,53.33,100.0,100.0,3.44,CL,1717651209.0
296,kulhudhuffushi,6.6221,73.07,83.52,76.0,52.0,10.07,MV,1717651271.0
297,lospalos,-8.5186,127.0025,76.44,80.0,78.0,9.75,TL,1717651371.0
298,sitka,57.0531,-135.33,46.76,88.0,100.0,6.31,US,1717651281.0
299,birjand,32.8663,59.2211,79.27,18.0,40.0,13.8,IR,1717651250.0
300,san patricio,28.017,-97.5169,82.9,87.0,76.0,6.24,US,1717651256.0
301,nar'yan-mar,67.6713,53.087,41.11,86.0,96.0,10.0,RU,1717651261.0
302,champerico,14.3,-91.9167,82.9,79.0,100.0,3.02,GT,1717651297.0
303,bom jesus da lapa,-13.255,-43.4181,69.12,78.0,83.0,5.3,BR,1717651372.0
304,palmer,42.1584,-72.3287,69.4,72.0,100.0,5.75,US,1717651272.0
305,xilin hot,43.9667,116.0333,75.22,24.0,74.0,21.7,CN,1717651272.0
306,bel ombre,-4.6167,55.4167,85.84,79.0,20.0,8.05,SC,1717651271.0
307,durgapur,23.4833,87.3167,91.69,66.0,40.0,9.22,IN,1717651373.0
308,chinde,26.8418,88.0763,75.96,67.0,6.0,5.37,NP,1717651373.0
309,kwakoa,-3.7667,37.7167,70.2,82.0,97.0,2.15,TZ,1717651373.0
310,petropavlovsk-kamchatsky,53.0452,158.6483,59.59,25.0,0.0,13.42,RU,1717651261.0
311,port hueneme,34.1478,-119.1951,66.47,91.0,100.0,4.61,US,1717651373.0
312,kuldiga,56.974,21.9572,58.69,90.0,100.0,6.87,LV,1717651373.0
313,fortuna,40.5982,-124.1573,55.35,93.0,100.0,5.75,US,1717651315.0
314,walvis bay,-22.9575,14.5053,56.08,74.0,0.0,7.05,NA,1717651373.0
315,de soto,34.9248,-89.9904,75.06,89.0,75.0,4.61,US,1717651373.0
316,lompoc,34.6391,-120.4579,66.78,95.0,100.0,4.61,US,1717651265.0
317,kingston,17.997,-76.7936,83.35,84.0,20.0,9.22,JM,1717651167.0
318,puerto deseado,-47.7503,-65.8938,44.64,93.0,100.0,8.16,AR,1717651269.0
319,bikenibeu village,1.3673,173.1241,83.55,72.0,100.0,4.43,KI,1717651374.0
320,puerto san carlos,,,,,,,,
321,spanish springs,39.6491,-119.7074,80.29,42.0,75.0,6.91,US,1717651374.0
